iter	Passed	Remaining
411	3326	4747
412	3333	4737
413	3340	4728
414	3347	4718
415	3354	4709
416	3362	4701
417	3369	4691
418	3377	4683
419	3384	4674
420	3393	4667
421	3400	4657
422	3407	4648
423	3414	4638
424	3422	4630
425	3430	4622
426	3438	4613
427	3444	4603
428	3452	4595
429	3459	4586
430	3467	4577
431	3475	4569
432	3482	4560
433	3490	4551
434	3498	4543
435	3505	4535
436	3513	4526
437	3520	4517
438	3528	4508
439	3535	4499
440	3543	4491
441	3552	4484
442	3559	4475
443	3566	4466
444	3574	4457
445	3582	4449
446	3589	4440
447	3596	4431
448	3603	4422
449	3611	4413
450	3618	4405
451	3626	4396
452	3633	4387
453	3641	4379
454	3649	4370
455	3656	4362
456	3664	4354
457	3672	4345
458	3680	4337
459	3686	4328
460	3694	4319
461	3701	4310
462	3709	4301
463	3715	4292
464	3724	4284
465	3731	4275
466	3738	4266
467	3745	4257
468	3773	4272
469	3784	4267
470	3794	4261
471	3805	4257
472	3815	4250
473	3823	4243
474	3832	4236
475	3840	4227
476	3848	4220
477	3856	4211
478	3864	4202
479	3871	4194
480	3879	4185
481	3887	4177
482	3893	4168
483	3901	4159
484	3908	4150
485	3915	4141
486	3923	4132
487	3930	4124
488	3938	4115
489	3945	4106
490	3953	4098
491	3959	4088
492	3967	4080
493	3974	4071
494	3982	4062
495	3989	4053
496	3996	4044
497	4004	4036
498	4011	4027
499	4019	4019
500	4026	4010
501	4034	4002
502	4042	3993
503	4048	3984
504	4055	3975
505	4063	3966
506	4070	3958
507	4078	3949
508	4084	3940
509	4091	3931
510	4099	3922
511	4106	3913
512	4113	3905
513	4121	3896
514	4129	3888
515	4137	3880
516	4144	3871
517	4152	3863
518	4159	3854
519	4166	3846
520	4173	3836
521	4180	3828
522	4187	3819
523	4194	3810
524	4202	3802
525	4210	3793
526	4217	3785
527	4224	3776
528	4232	3768
529	4240	3760
530	4248	3752
531	4256	3744
532	4263	3735
533	4269	3726
534	4277	3717
535	4284	3708
536	4291	3700
537	4299	3692
538	4307	3683
539	4314	3675
540	4322	3667
541	4330	3659
542	4337	3650
543	4344	3641
544	4351	3633
545	4358	3624
546	4365	3615
547	4373	3607
548	4380	3598
549	4387	3589
550	4394	3581
551	4402	3572
552	4410	3565
553	4418	3556
554	4425	3548
555	4432	3540
556	4440	3531
557	4447	3522
558	4454	3514
559	4462	3506
560	4469	3497
561	4477	3489
562	4484	3481
563	4492	3472
564	4500	3465
565	4507	3456
566	4515	3448
567	4522	3439
568	4529	3431
569	4537	3422
570	4545	3414
571	4553	3407
572	4560	3398
573	4568	3390
574	4575	3381
575	4582	3373
576	4590	3365
577	4598	3357
578	4605	3348
579	4613	3340
580	4620	3332
581	4627	3323
582	4634	3314
583	4641	3306
584	4648	3297
585	4656	3289
586	4663	3281
587	4671	3272
588	4678	3264
589	4685	3255
590	4692	3247
591	4699	3238
592	4706	3230
593	4714	3222
594	4721	3213
595	4729	3205
596	4737	3197
597	4745	3189
598	4752	3181
599	4758	3172
600	4766	3164
601	4773	3155
602	4781	3147
603	4789	3139
604	4797	3132
605	4804	3124
606	4812	3115
607	4819	3107
608	4827	3099
609	4834	3090
610	4841	3082
611	4848	3074
612	4856	3065
613	4862	3057
614	4869	3048
615	4877	3040
616	4885	3032
617	4892	3024
618	4900	3015
619	4906	3007
620	4913	2998
621	4920	2990
622	4927	2981
623	4935	2973
624	4942	2965
625	4949	2957
626	4956	2948
627	4964	2940
628	4971	2932
629	4979	2924
630	4986	2915
631	4994	2908
632	5001	2899
633	5008	2891
634	5016	2883
635	5023	2874
636	5030	2866
637	5037	2858
638	5044	2850
639	5052	2841
640	5059	2833
641	5066	2825
642	5072	2816
643	5080	2808
644	5087	2800
645	5094	2791
646	5102	2783
647	5109	2775
648	5116	2767
649	5122	2758
650	5129	2750
651	5137	2741
652	5144	2733
653	5151	2725
654	5158	2717
655	5165	2708
656	5172	2700
657	5179	2691
658	5186	2683
659	5192	2675
660	5199	2666
661	5206	2658
662	5213	2649
663	5220	2641
664	5227	2633
665	5235	2625
666	5243	2617
667	5250	2609
668	5257	2601
669	5265	2593
670	5273	2585
671	5280	2577
672	5288	2569
673	5295	2561
674	5302	2553
675	5310	2545
676	5317	2537
677	5324	2528
678	5332	2520
679	5339	2512
680	5346	2504
681	5353	2496
682	5361	2488
683	5368	2480
684	5375	2471
685	5382	2463
686	5390	2455
687	5397	2447
688	5404	2439
689	5411	2431
690	5418	2422
691	5425	2414
692	5432	2406
693	5439	2398
694	5447	2390
695	5454	2382
696	5461	2374
697	5467	2365
698	5474	2357
699	5481	2349
700	5488	2341
701	5495	2332
702	5502	2324
703	5509	2316
704	5516	2308
705	5523	2300
706	5530	2292
707	5537	2283
708	5544	2275
709	5551	2267
710	5558	2259
711	5565	2251
712	5572	2243
713	5580	2235
714	5586	2226
715	5594	2218
716	5601	2211
717	5608	2202
718	5616	2194
719	5623	2186
720	5630	2178
721	5637	2170
722	5644	2162
723	5651	2154
724	5658	2146
725	5665	2138
726	5672	2130
727	5679	2121
728	5686	2113
729	5693	2105
730	5700	2097
731	5708	2089
732	5715	2081
733	5722	2073
734	5730	2066
735	5737	2058
736	5744	2050
737	5751	2041
738	5758	2033
739	5765	2025
740	5773	2017
741	5780	2009
742	5787	2001
743	5795	1994
744	5802	1986
745	5809	1978
746	5816	1970
747	5823	1962
748	5830	1953
749	5838	1946
750	5845	1938
751	5852	1929
752	5858	1921
753	5866	1913
754	5873	1905
755	5880	1897
756	5887	1889
757	5895	1882
758	5902	1874
759	5909	1866
760	5917	1858
761	5924	1850
762	5931	1842
763	5938	1834
764	5945	1826
765	5953	1818
766	5960	1810
767	5967	1802
768	5975	1794
769	5982	1787
770	5990	1779
771	5998	1771
772	6005	1763
773	6012	1755
774	6019	1747
775	6027	1739
776	6034	1731
777	6041	1723
778	6048	1715
779	6055	1708
780	6063	1700
781	6070	1692
782	6077	1684
783	6083	1676
784	6090	1668
785	6098	1660
786	6105	1652
787	6113	1644
788	6120	1636
789	6127	1628
790	6134	1620
791	6141	1612
792	6148	1604
793	6155	1597
794	6162	1589
795	6169	1581
796	6176	1573
797	6183	1565
798	6190	1557
799	6197	1549
800	6204	1541
801	6212	1533
802	6219	1525
803	6226	1517
804	6232	1509
805	6239	1501
806	6245	1493
807	6253	1485
808	6261	1478
809	6268	1470
810	6275	1462
811	6282	1454
812	6290	1446
813	6297	1439
814	6305	1431
815	6312	1423
816	6320	1415
817	6327	1407
818	6334	1400
819	6342	1392
820	6349	1384
821	6356	1376
822	6363	1368
823	6370	1360
824	6377	1352
825	6383	1344
826	6390	1336
827	6397	1328
828	6405	1321
829	6412	1313
830	6418	1305
831	6426	1297
832	6433	1289
833	6440	1281
834	6447	1274
835	6454	1266
836	6461	1258
837	6468	1250
838	6476	1242
839	6483	1234
840	6490	1227
841	6497	1219
842	6504	1211
843	6510	1203
844	6518	1195
845	6525	1187
846	6532	1179
847	6539	1172
848	6546	1164
849	6553	1156
850	6560	1148
851	6567	1140
852	6574	1132
853	6581	1125
854	6588	1117
855	6595	1109
856	6602	1101
857	6608	1093
858	6615	1085
859	6622	1078
860	6629	1070
861	6636	1062
862	6643	1054
863	6650	1046
864	6657	1039
865	6664	1031
866	6672	1023
867	6679	1015
868	6686	1007
869	6693	1000
870	6699	992
871	6706	984
872	6713	976
873	6720	968
874	6727	961
875	6733	953
876	6740	945
877	6747	937
878	6755	929
879	6763	922
880	6770	914
881	6776	906
882	6783	898
883	6790	891
884	6798	883
885	6805	875
886	6812	867
887	6819	860
888	6827	852
889	6834	844
890	6841	836
891	6848	829
892	6855	821
893	6862	813
894	6869	805
895	6876	798
896	6882	790
897	6890	782
898	6897	774
899	6905	767
900	6913	759
901	6920	751
902	6927	744
903	6935	736
904	6941	728
905	6948	720
906	6955	713
907	6962	705
908	6969	697
909	6976	690
910	6983	682
911	6990	674
912	6998	666
913	7004	659
914	7012	651
915	7019	643
916	7026	635
917	7033	628
918	7040	620
919	7047	612
920	7054	605
921	7062	597
922	7069	589
923	7076	582
924	7084	574
925	7091	566
926	7098	559
927	7105	551
928	7112	543
