iter	Kappa	MultiClass
201	0.3566753927	1.215817727
202	0.3562167754	1.215228522
203	0.3584950929	1.21445055
204	0.358687443	1.213998258
205	0.3591119919	1.213311164
206	0.3610623538	1.212201243
207	0.3617858736	1.21150482
208	0.3625111018	1.210857131
209	0.364333288	1.210021751
210	0.3646052958	1.209551976
211	0.3639281185	1.209041344
212	0.3659571566	1.208369404
213	0.3666979881	1.20763455
214	0.3670840898	1.207250646
215	0.367691623	1.206727025
216	0.3692837159	1.206110938
217	0.3682724272	1.20566527
218	0.3680202565	1.205006451
219	0.3691339475	1.204083737
220	0.3694475974	1.203542908
221	0.372947114	1.202794643
222	0.3723869692	1.202348904
223	0.3740490114	1.20168236
224	0.3730673566	1.201260407
225	0.376342317	1.20022212
226	0.3761952694	1.199336032
227	0.3790119133	1.198645903
228	0.3776220043	1.197938082
229	0.3788991274	1.197349764
230	0.3795077426	1.196553179
231	0.3802299418	1.196042121
232	0.3794798401	1.195030003
233	0.3811895942	1.194244176
234	0.3815104674	1.193212141
235	0.3825363091	1.192488625
236	0.3830839376	1.191646258
237	0.3842422586	1.190787807
238	0.3849700208	1.190024283
239	0.3863524931	1.189265874
240	0.3869744556	1.188524888
241	0.3876372706	1.187542724
242	0.38849314	1.187200081
243	0.3897332622	1.186790694
244	0.3905051442	1.185973718
245	0.3909242729	1.185179941
246	0.3926107229	1.184639568
247	0.3936279588	1.183848319
248	0.3939354887	1.18327279
249	0.394802671	1.1826977
250	0.3960639297	1.182020429
251	0.3960275308	1.181551018
252	0.3966173779	1.180828159
253	0.3970519877	1.180303417
254	0.3979266352	1.179754325
255	0.3979666574	1.179090354
256	0.3982825719	1.178501794
257	0.4003750603	1.177956752
258	0.3997309279	1.177423042
259	0.4007077631	1.176942096
260	0.4008792356	1.176281759
261	0.4020127019	1.175884936
262	0.4017252646	1.175119247
263	0.4025703994	1.174379332
264	0.404840446	1.173731883
265	0.4049546274	1.172960243
266	0.4055622068	1.172199316
267	0.4077327706	1.171643027
268	0.4073332947	1.171037611
269	0.4088893037	1.170616665
270	0.4105830759	1.169712439
271	0.4100499889	1.169311349
272	0.4115832236	1.168777205
273	0.4125763623	1.168228592
274	0.4134168373	1.167653253
275	0.4131579109	1.167150692
276	0.4136122109	1.166611964
277	0.413361096	1.165883738
278	0.4150325533	1.165234332
279	0.4149182193	1.164873089
280	0.415184083	1.164202143
281	0.415573934	1.163377476
282	0.4164452265	1.162873721
283	0.4167540682	1.162541874
284	0.4167778762	1.16193812
285	0.417499669	1.161429568
286	0.417804924	1.160771878
287	0.4189255323	1.160048081
288	0.4190864502	1.159188596
289	0.4208174092	1.158439411
290	0.420820769	1.158034442
291	0.4215053014	1.157383223
292	0.4221776379	1.156993936
293	0.4226497288	1.156394832
294	0.4231852333	1.155431428
295	0.4257212753	1.154811516
296	0.4253242323	1.154269062
297	0.4257516091	1.153647904
298	0.4256376293	1.15280779
299	0.4260980066	1.152186031
300	0.4258530507	1.151781613
301	0.4257197743	1.151297564
302	0.4254072748	1.150262443
303	0.427534043	1.14965237
304	0.4285160962	1.148971188
305	0.4296099376	1.148294053
306	0.4285020532	1.147669154
307	0.4290296086	1.147070794
308	0.4311836894	1.146491819
309	0.4316123582	1.145900641
310	0.4324726932	1.145507684
311	0.4336297701	1.144651034
312	0.4336273213	1.143856404
313	0.4334828119	1.143008808
314	0.4335109301	1.142505014
315	0.4336779898	1.142148919
316	0.436273591	1.141507858
317	0.435700833	1.140972205
318	0.4375646962	1.140539725
319	0.4378183993	1.140016258
320	0.4363037457	1.139438923
321	0.4373423702	1.138582487
322	0.4382125909	1.137821787
323	0.4389244203	1.137086522
324	0.4390791739	1.136486215
325	0.438505795	1.135878705
326	0.4389714636	1.135468436
327	0.4398277643	1.134877486
328	0.4408180336	1.134480045
329	0.4405270438	1.133793411
330	0.4403770063	1.133140713
331	0.4422218517	1.132510704
332	0.4428252373	1.132043495
333	0.4446781062	1.131320913
334	0.4445421934	1.130920896
335	0.4441312135	1.13029442
336	0.4443015128	1.129999498
337	0.44484761	1.129369578
338	0.4445871071	1.129043832
339	0.4465572896	1.128105491
340	0.4478817155	1.12757192
341	0.4480143052	1.127157766
342	0.4489971626	1.126628657
343	0.45071427	1.125999546
344	0.4504528575	1.125267915
345	0.4516904507	1.124677362
346	0.4529488862	1.124133208
347	0.4536681352	1.123701353
348	0.4536946496	1.123313772
349	0.454160235	1.12266322
350	0.4545619555	1.122113474
351	0.4561258838	1.121352885
352	0.4557770572	1.120733826
353	0.4557712693	1.120040745
354	0.456569991	1.11933066
355	0.4561468241	1.118753499
356	0.4566844144	1.118273332
357	0.4574230543	1.117704896
358	0.4570174493	1.117162395
359	0.4584044259	1.116444745
360	0.4589785984	1.115884666
361	0.4598422432	1.115281993
362	0.4612686914	1.114404775
363	0.4612648877	1.113659696
364	0.4628295747	1.113016683
365	0.4631057141	1.112426872
366	0.4640979166	1.1121186
367	0.4645491751	1.111524319
368	0.4655356735	1.110963091
369	0.4667240613	1.110346608
370	0.4657381495	1.109870429
371	0.466891048	1.10942447
372	0.4681311018	1.108969452
373	0.4688271276	1.108358836
374	0.4696960859	1.107534917
375	0.4702782913	1.107156469
376	0.4706721504	1.106497047
377	0.4700835267	1.106002596
378	0.4721014861	1.105542386
379	0.4724100118	1.105034682
380	0.4733847088	1.104704191
381	0.4761115137	1.104152085
382	0.4762223091	1.103511789
383	0.4753881155	1.102965707
384	0.476086055	1.102471948
385	0.4765407238	1.101837635
386	0.4767009892	1.101419
387	0.47799078	1.100933135
388	0.4776919133	1.100233209
389	0.4789752061	1.099657133
390	0.4800250346	1.099175475
391	0.4798845747	1.098822546
392	0.4809828793	1.098223838
393	0.4819945266	1.097715271
394	0.4816530179	1.096925499
395	0.4838184412	1.096152764
396	0.4843901382	1.095578224
397	0.4851272461	1.094694299
398	0.4873785255	1.093933746
399	0.4887654466	1.093321226
400	0.48919462	1.092745682
401	0.490367358	1.092098515
402	0.4910836696	1.091497656
403	0.4906860742	1.090850556
404	0.4922135321	1.090181803
405	0.4927889315	1.089614979
406	0.4927847115	1.088810006
407	0.492778097	1.088153239
408	0.4934941759	1.08786214
409	0.4937924567	1.087365325
410	0.4935083893	1.087185125
411	0.4937589335	1.086627023
412	0.4934688834	1.086224681
413	0.4951554143	1.085749015
414	0.4950133259	1.085362653
415	0.4949007637	1.084801456
416	0.495934053	1.084371396
417	0.4966069524	1.083524095
418	0.4963709889	1.082712243
419	0.4979373256	1.082121183
420	0.4980653773	1.081484878
421	0.4980482521	1.081109371
422	0.4978973899	1.080872505
423	0.4981807001	1.080474775
424	0.4992011723	1.080044772
425	0.498644448	1.079466049
426	0.4994801744	1.079160467
427	0.5000340072	1.078937465
428	0.5007408985	1.078420712
429	0.5021364029	1.077962865
430	0.5034079181	1.07743987
431	0.5026660147	1.076617758
432	0.5028241399	1.076109714
433	0.5024507268	1.075352652
434	0.5038177797	1.074899537
435	0.5052501561	1.074309611
436	0.5061176703	1.073439132
437	0.5062740767	1.072954669
438	0.5065496896	1.072351326
439	0.5065423804	1.071819125
440	0.5077897005	1.071063551
441	0.5087718355	1.070450639
442	0.5091853653	1.070079552
443	0.5085248092	1.069776626
444	0.5090809917	1.069419211
445	0.5095347955	1.068776944
446	0.5103853405	1.068274758
447	0.510549348	1.067500062
448	0.5101196203	1.066963588
449	0.5105422988	1.066598957
450	0.510830326	1.066102996
451	0.5107069553	1.065678275
452	0.5112779475	1.065387724
453	0.5111519425	1.064886177
454	0.5120800871	1.064361122
455	0.5135172577	1.063723686
456	0.5139520253	1.063231067
457	0.5140853031	1.062739384
458	0.5153931963	1.061884373
459	0.5169571649	1.061073065
460	0.517247555	1.0605876
461	0.517421103	1.060260852
462	0.5174463423	1.05974684
463	0.517861143	1.059050952
464	0.5181700869	1.05843809
465	0.5186913827	1.058028495
466	0.5194275521	1.05728293
467	0.5189734009	1.056623088
468	0.5202490642	1.055876303
469	0.520505949	1.055550348
470	0.5206608811	1.055054067
471	0.5217753119	1.054542266
472	0.5231710452	1.054090336
473	0.523012727	1.053581207
474	0.5237529645	1.053006901
475	0.5232138946	1.052544568
476	0.5246479422	1.051648018
477	0.5261888175	1.051125499
478	0.5253461679	1.050555233
479	0.5253545403	1.049977941
480	0.5248161288	1.049598141
481	0.5267870412	1.04903856
482	0.5270777848	1.04857796
483	0.5270771792	1.047978138
484	0.5270821962	1.047506121
485	0.5284933794	1.046690375
486	0.5267950018	1.046121838
487	0.5276475036	1.045780684
488	0.5283820244	1.045188639
489	0.5291153425	1.044902523
490	0.5299934713	1.044483357
491	0.5292580219	1.043947149
492	0.5310894488	1.043335704
493	0.5315028315	1.043043597
494	0.5316238959	1.042410154
495	0.5317710225	1.041938996
496	0.5333243449	1.041528961
497	0.534618243	1.040987343
498	0.5353456214	1.040424731
499	0.5350500236	1.039936515
500	0.5360283714	1.039556434
501	0.536569961	1.038876968
502	0.5375368731	1.038170639
503	0.5376885969	1.037898343
504	0.5385417594	1.0373725
505	0.5400885558	1.036844361
506	0.5393939997	1.036539769
507	0.5392584838	1.036134244
508	0.5405179059	1.035773041
509	0.5400669785	1.035420301
510	0.5406434956	1.035129876
511	0.5408145973	1.034686601
512	0.5396664383	1.034338334
513	0.5399590691	1.033963037
514	0.5405406703	1.033309003
515	0.5406521758	1.03289285
516	0.54150229	1.032408975
517	0.5423349754	1.031769557
518	0.5431622154	1.031423188
519	0.5440130807	1.030976092
520	0.5433251374	1.030503097
521	0.5435969491	1.029979032
522	0.5445698513	1.029708356
523	0.5450951934	1.029154156
524	0.5462196366	1.02870575
525	0.5456978831	1.028375138
526	0.5463982167	1.028016022
527	0.5462560729	1.027690483
528	0.5458201048	1.027223393
529	0.5466800664	1.026829357
530	0.5483939469	1.02636852
531	0.5483852303	1.025703021
532	0.5486841017	1.025302465
533	0.5491304878	1.024695509
534	0.5494393597	1.024033567
535	0.5502935184	1.023627921
536	0.5504311137	1.023147851
537	0.5523867609	1.022368383
538	0.5521092895	1.021936534
539	0.5515320228	1.021502821
540	0.5508608689	1.02080383
541	0.551430179	1.020444718
542	0.5514155935	1.020154856
543	0.5520863553	1.019813278
544	0.5519415991	1.019346724
545	0.5529293505	1.018838179
546	0.5537842507	1.018322264
547	0.5546376454	1.017957454
548	0.5550457243	1.017536998
549	0.5546141875	1.017158513
550	0.5553501978	1.016833002
551	0.5566845636	1.016154824
552	0.5574386262	1.015452881
553	0.5585605796	1.014934257
554	0.5587234295	1.014388416
555	0.5589686398	1.014145084
556	0.5602373959	1.013551137
557	0.560092581	1.013227706
558	0.5602466422	1.012732118
559	0.5616405048	1.012316477
560	0.5624603474	1.011846459
561	0.5628876772	1.011480413
