iter	Kappa	MultiClass
916	0.7200990456	0.855150888
917	0.7207852468	0.8548067972
918	0.7214997231	0.854260594
919	0.7216280208	0.8537182273
920	0.7221827948	0.853332846
921	0.7216231436	0.8527634597
922	0.7231427569	0.852342131
923	0.7228786651	0.8519622706
924	0.7230262608	0.8516070787
925	0.724565549	0.8511500995
926	0.7250041187	0.8508539108
927	0.7256847161	0.8505990511
928	0.7267897389	0.8503973452
929	0.7256747838	0.8498233467
930	0.7262207711	0.8494756963
931	0.7259364493	0.8490205194
932	0.7270583122	0.84865779
933	0.7265140125	0.8483703166
934	0.7269196499	0.8481081333
935	0.7281852638	0.8477603977
936	0.7281875346	0.8472283933
937	0.7288861061	0.8467750728
938	0.7284740617	0.8465060266
939	0.7289050935	0.8463376755
940	0.7287557361	0.8460912981
941	0.7291749175	0.8457239552
942	0.7291819509	0.8454157156
943	0.7297283685	0.8451187405
944	0.7308259333	0.8446526237
945	0.7305430198	0.8443079245
946	0.7312419946	0.843752167
947	0.731525175	0.8434013757
948	0.7311240839	0.8431113394
949	0.7318252454	0.8428079843
950	0.7315459597	0.8425070476
951	0.7318325235	0.842214307
952	0.7336680237	0.8417816691
953	0.7333834001	0.8415713522
954	0.7340805081	0.840878685
955	0.7343694225	0.8405411617
956	0.735488919	0.8401989708
957	0.7346454602	0.8398560496
958	0.7347949319	0.8395527993
959	0.7353467914	0.8392445055
960	0.7359110097	0.8388657937
961	0.7364582775	0.8386009792
962	0.7363054368	0.838094635
963	0.736586178	0.8378367262
964	0.7364628429	0.8375130858
965	0.7367416412	0.8372275545
966	0.7366049825	0.8368428086
967	0.7363351377	0.8362330299
968	0.7373157563	0.8359905075
969	0.7370587908	0.8356940694
970	0.7374681591	0.8353341353
971	0.7383001622	0.834894342
972	0.7392863379	0.8344699548
973	0.7406801895	0.8341202557
974	0.7406806203	0.8338334918
975	0.7415178245	0.83331888
976	0.7417855733	0.8329678748
977	0.7422126569	0.8325966646
978	0.7417897396	0.8322221448
979	0.7412447544	0.8318939848
980	0.741523451	0.8315520679
981	0.7416698281	0.8312595257
982	0.7420949233	0.8308443688
983	0.742379005	0.8303896155
984	0.7427969974	0.8299438555
985	0.7429355766	0.8297731771
986	0.7432085886	0.8294100955
987	0.743779952	0.8289727956
988	0.7439125734	0.8287504413
989	0.7451623803	0.8281520936
990	0.745304298	0.8277182023
991	0.7458630095	0.8274870585
992	0.7454450723	0.8272804092
993	0.7454538546	0.8268807986
994	0.7466979693	0.8264811241
995	0.7472444767	0.8261342824
996	0.747250693	0.8257861465
997	0.7476726742	0.8255001678
998	0.7480741193	0.8251815023
999	0.7476668911	0.8248384335
